filename,global_shape,local_shape,global_label,local_label
circle_circle_0.png,circle,circle,0,0
circle_circle_1.png,circle,circle,0,0
circle_circle_2.png,circle,circle,0,0
circle_circle_3.png,circle,circle,0,0
circle_circle_4.png,circle,circle,0,0
circle_circle_5.png,circle,circle,0,0
circle_circle_6.png,circle,circle,0,0
circle_circle_7.png,circle,circle,0,0
circle_circle_8.png,circle,circle,0,0
circle_circle_9.png,circle,circle,0,0
circle_circle_10.png,circle,circle,0,0
circle_circle_11.png,circle,circle,0,0
circle_circle_12.png,circle,circle,0,0
circle_circle_13.png,circle,circle,0,0
circle_circle_14.png,circle,circle,0,0
circle_circle_15.png,circle,circle,0,0
circle_circle_16.png,circle,circle,0,0
circle_circle_17.png,circle,circle,0,0
circle_circle_18.png,circle,circle,0,0
circle_circle_19.png,circle,circle,0,0
circle_circle_20.png,circle,circle,0,0
circle_circle_21.png,circle,circle,0,0
circle_circle_22.png,circle,circle,0,0
circle_circle_23.png,circle,circle,0,0
circle_circle_24.png,circle,circle,0,0
circle_circle_25.png,circle,circle,0,0
circle_circle_26.png,circle,circle,0,0
circle_circle_27.png,circle,circle,0,0
circle_circle_28.png,circle,circle,0,0
circle_circle_29.png,circle,circle,0,0
circle_circle_30.png,circle,circle,0,0
circle_circle_31.png,circle,circle,0,0
circle_circle_32.png,circle,circle,0,0
circle_circle_33.png,circle,circle,0,0
circle_circle_34.png,circle,circle,0,0
circle_circle_35.png,circle,circle,0,0
circle_circle_36.png,circle,circle,0,0
circle_circle_37.png,circle,circle,0,0
circle_circle_38.png,circle,circle,0,0
circle_circle_39.png,circle,circle,0,0
circle_circle_40.png,circle,circle,0,0
circle_circle_41.png,circle,circle,0,0
circle_circle_42.png,circle,circle,0,0
circle_circle_43.png,circle,circle,0,0
circle_circle_44.png,circle,circle,0,0
circle_circle_45.png,circle,circle,0,0
circle_circle_46.png,circle,circle,0,0
circle_circle_47.png,circle,circle,0,0
circle_circle_48.png,circle,circle,0,0
circle_circle_49.png,circle,circle,0,0
circle_circle_50.png,circle,circle,0,0
circle_circle_51.png,circle,circle,0,0
